Date,Close,High,Low,Open,Volume,Month,Year,Week,Daily_Return_Rate,RSI,PPO,MACD,Signal,VWAP,OBV,CMF,PVT,ROC
2010-01-04,0.423922598361969,0.42690312767421,0.4152102924228287,0.4243811350258676,800204000,1,2010,1,-0.0010804831460537534,54.989161520057365,0.0,0.0,0.0,0.4220120061530026,0,0.49019562011037154,2648094990.4663644,2.7692602832192725
2010-01-05,0.4301130175590515,0.4346984396982569,0.4223177835236392,0.4223177835236392,728648000,1,2010,1,0.01845821876211847,54.989161520057365,0.0,0.0,0.0,0.425363002904909,728648000,0.3801322506335817,10640236.176473772,2.7692602832192725
2010-01-06,0.4328641891479492,0.4337812624817829,0.425756775151304,0.4298836598160894,649168000,1,2010,1,0.006933339436848894,54.989161520057365,0.0,0.0,0.0,0.4269837439366213,1377816000,0.49676057306494004,14792569.36591588,2.7692602832192725
2010-01-07,0.4243810772895813,0.4324055908067865,0.4211712937477097,0.4305714170694613,547792000,1,2010,1,-0.01437703371490016,51.31560043511278,0.0,0.0,0.0,0.42678323006636926,830024000,0.31080094308463085,4057144.8895548154,2.7692602832192725
2010-01-08,0.4252982437610626,0.4282787731299018,0.4184201116781723,0.4209420770431383,478168000,1,2010,1,0.01034861315961508,53.750014217216325,0.0,0.0,0.0,0.42636771273173335,1308192000,0.32341891432494907,5090554.909003032,2.7692602832192725
2010-01-11,0.419337123632431,0.4294250656092226,0.4133760657674513,0.4275908918560547,556612000,1,2010,2,-0.019302956121905177,40.56602732401922,0.0,0.0,0.0,0.42553071175245677,751580000,0.23748893453072897,-2711102.0357691776,2.7692602832192725
2010-01-12,0.4051223695278168,0.4147517766101291,0.3964100631506746,0.4131468845401665,627432000,1,2010,2,-0.019422910622407443,25.595365668529553,0.0,0.0,0.0,0.42265628789588533,124148000,0.19638153142837572,-23979888.162093744,2.7692602832192725
2010-01-13,0.4106248617172241,0.4120004990086819,0.3920538949388738,0.4078736144655746,508868000,1,2010,2,0.006745342562191549,34.89588199372544,0.0,0.0,0.0,0.4208103976008856,633016000,0.2655573581240984,-17068292.046819046,2.7692602832192725
2010-01-14,0.4042052924633026,0.4085614319464656,0.3973271602280337,0.4055809298428635,608524000,1,2010,2,-0.0033917703677385394,30.454617162162734,0.0,0.0,0.0,0.4188820838510733,24492000,0.2610182148318805,-26581749.036092892,2.7692602832192725
2010-01-15,0.3922830820083618,0.4046637335044599,0.3870098430747234,0.4012246681996428,818192000,1,2010,2,-0.022285733904157175,24.63238140387533,0.0,0.0,0.0,0.4157470569567343,-793700000,0.17515503546343228,-50714677.02697153,2.7692602832192725
2010-01-19,0.3996198177337646,0.4021417828186135,0.3881562382042843,0.3893025934241059,545328000,1,2010,3,0.026501812430566384,32.565842078212555,0.0,0.0,0.0,0.4142300816903654,-248372000,0.21200744102965632,-40515594.77448437,2.7692602832192725
2010-01-20,0.3980149328708648,0.3996198521819745,0.3893026269829457,0.3945758669149441,719728000,1,2010,3,0.008715854780500373,31.83285803909041,0.0,0.0,0.0,0.4124675020050682,-968100000,0.2572357543766763,-43406043.44931629,2.7692602832192725
2010-01-21,0.3909075856208801,0.4048931328477982,0.3872392372996746,0.3977857182246884,608632000,1,2010,3,-0.01729104964980961,28.947456439212516,-0.24004168349854121,-0.0009890999167393444,-0.00010989999074881605,0.41112206697048115,-1576732000,0.19474496508575112,-54274376.806186005,2.7692602832192725
2010-01-22,0.3773805201053619,0.3934294938420863,0.3750878095715442,0.386322080254745,1067916000,1,2010,3,-0.023145351007343325,24.688347770726608,-0.7097181089073731,-0.0029068404719942986,-0.0004328822654148492,0.40776150779092374,-2644648000,0.08585287884589779,-91228813.68191433,2.7692602832192725
2010-01-25,0.3838002681732178,0.3911369393419514,0.3808197378239982,0.3835709860958638,643676000,1,2010,4,0.0005977565709223134,29.603889296254323,-1.2938481352123632,-0.005277067422866821,-0.0010192230901778293,0.40629932282061026,-2000972000,0.05284866417611515,-80279022.8549487,-9.464541485588017
2010-01-26,0.3716487884521484,0.3844879799176209,0.3714195064386951,0.3819659870947096,714636000,1,2010,4,-0.027010778423061578,21.978110822886777,-1.8265323912744813,-0.007408328354358673,-0.0018423706851065707,0.4042511618216276,-2715608000,-0.015615195546056502,-102905074.95042798,-13.592759744565603
2010-01-27,0.3817368149757385,0.3831124527899398,0.3672927272517318,0.3714196133630589,812504000,1,2010,4,0.02777775120506269,27.10489987572548,-2.3837719963860238,-0.009635010916812792,-0.0029129274536413255,0.40234207361855184,-1903104000,0.044185758845568655,-80850484.27986419,-11.81141232146044
2010-01-28,0.3688974380493164,0.3860927929291532,0.3636241988015011,0.384717155792762,687764000,1,2010,4,-0.04112038547084523,26.087107305028184,-2.952910188833516,-0.011877520216835857,-0.004232651922178643,0.40067025215440444,-2590868000,0.011578344363688086,-103982812.32892859,-13.074013477374013
2010-01-29,0.3528485298156738,0.3771512747682068,0.347346007601058,0.3730243899400621,774700000,1,2010,4,-0.054087241125520505,22.377741564334414,-3.411788517135704,-0.013634596085339235,-0.005747607042771891,0.3981744065849539,-3365568000,-0.02700183045679393,-137686188.73172385,-17.03503717877846
2010-02-01,0.379902571439743,0.3805903902221098,0.3512436559371176,0.3542241857731927,949832000,2,2010,5,0.07249190399153596,37.04827166598738,-3.8149987895713324,-0.015208319326241782,-0.007437420301243201,0.3962816778114471,-2415736000,0.04022330982337606,-64859487.4916853,-9.404021244552213
