Date,Close,High,Low,Open,Volume,Month,Year,Week,Daily_Return_Rate,RSI,PPO,MACD,Signal,VWAP,OBV,CMF,PVT,ROC
2010-03-03,21.569366455078125,21.683050150952457,21.48600024246472,21.607261502218982,48442100,3,2010,9,-0.0017538107333483956,58.72873441401977,0.6835756211276608,0.14732521008222577,-0.187700560969165,22.024176910554342,-267842600,0.06659129618272988,-13331581.780668754,2.1546444276624115
2010-03-04,21.69820213317871,21.7133601488278,21.425365079234812,21.56936189125734,42890600,3,2010,9,0.005973298726727416,59.21022554650528,0.8655805250913495,0.18636630131648246,-0.10421293209760583,22.017542212424853,-224952000,0.07343397337398672,-13075392.543648303,2.2896995798842408
2010-03-05,21.667888641357425,21.73609826967402,21.5390483929314,21.720940253259663,56001800,3,2010,9,-0.0024424178365978345,61.861917239221576,0.9943682161829485,0.21382229144756693,-0.024100940791289896,22.009923085921038,-280953800,0.1567423927662035,-13153629.90616607,2.84171844187958
2010-03-08,21.69820213317871,21.92556803127121,21.599677922555514,21.614835938204603,39414500,3,2010,10,0.003856896957832402,54.9643867842439,0.9484622867191709,0.20384197968703077,0.042502924927279966,22.006082009939217,-241539300,0.12712490931339177,-13098488.810364535,0.9876115571493258
2010-03-09,21.827049255371094,22.061994235346944,21.63757833667673,21.645157346890315,50271600,3,2010,10,0.008403353487606346,53.81832591442871,0.8545274557377898,0.18384076387454584,0.09493124111425565,22.003148416992346,-191267700,0.14324461669302557,-12799968.64043294,0.7345460217562638
2010-03-10,21.955883026123047,22.06198769209576,21.82704278180101,21.872516829595583,44891400,3,2010,10,0.0038114587899030447,50.0,0.8304075265905311,0.17881922844128795,0.1320925845719477,22.00228549961076,-146376300,0.156386116355929,-12534997.948853498,0.0
2010-03-11,22.11504364013672,22.122622649589093,21.86494211040141,21.895256702662657,35349700,3,2010,10,0.010038107360820937,58.03917736997626,0.9631991978058826,0.20765381592970655,0.16115406503704616,22.00267610815363,-111026600,0.2035134154340268,-12278744.080562027,1.4250848952128021
2010-03-12,22.183258056640625,22.266624287472457,22.008945138343957,22.22115166651432,31700200,3,2010,10,-0.0017052945968951737,60.38456698705849,1.0450467080285384,0.2255346836187897,0.18130611218618262,22.004307331462066,-79326400,0.20861804445759716,-12180964.004644267,1.8795625169501204
2010-03-15,22.19840812683105,22.25903874823881,21.986200229129867,22.115040480314867,37512000,3,2010,11,0.00376972615493927,71.62176102953272,1.0314224221401949,0.22306928879175203,0.19669706257659866,22.0061282705389,-41814400,0.20082897514700243,-12155345.160400009,3.388631545583049
2010-03-16,22.2590446472168,22.34998988065626,22.13020436188721,22.296938253558505,36723500,3,2010,11,-0.0016994981961551013,68.50032150618428,1.0342430537941543,0.22412562981629947,0.2052304425470513,22.009075115757923,-5090900,0.16079549629981432,-12055032.325188436,2.584741862923774
2010-03-17,22.456085205078125,22.63797849882308,22.28177236458278,22.35756099605186,50385700,3,2010,11,0.004406751212427168,73.09411625295552,0.9351827641473406,0.20321460870595942,0.20710247670143764,22.016514087986426,45294800,0.1295754587006783,-11609010.198292045,3.6013744579573603
2010-03-18,22.440937042236328,22.52430326709056,22.357569371833648,22.4560936177699,43845200,3,2010,11,-0.0006749426588414577,71.55993170255293,1.0349056112404944,0.22540631661048138,0.20838959060842813,22.022539010636137,1449600,0.09360579393414693,-11638586.779577948,3.2786941368091043
2010-03-19,22.42577743530273,22.660720963266133,22.24388553182639,22.55461771429202,81332100,3,2010,11,-0.0057123681111052186,65.40563850858663,1.1283927640994635,0.24633729152190398,0.21311129192341405,22.033338590581895,-79882500,0.09331866827653221,-11693529.345691094,1.964170559625122
2010-03-22,22.43336296081543,22.509151637329595,22.274206595580804,22.357574284301265,37718200,3,2010,12,0.0033898434396517304,93.84705032823604,1.1913665970549348,0.2606444114293822,0.22164503054061807,22.037715567945984,-42164300,0.1243689896280172,-11680771.153953105,4.005664735386291
2010-03-23,22.64555931091309,22.66071732849186,22.28935457110062,22.425773838213345,42026600,3,2010,12,0.00980057474428068,94.9374085100215,1.2830759867606143,0.2814863156049654,0.23305248466991557,22.044106233046524,-137700,0.18581533388981486,-11283243.099751366,4.989450469378965
