Date,Close,High,Low,Open,Volume,Month,Year,Week,Daily_Return_Rate,RSI,PPO,MACD,Signal,VWAP,OBV,CMF,PVT,ROC
2010-01-04,6.447411060333252,6.462173069917781,6.398304652210158,6.429937587353376,493729600,1,2010,1,0.0027175182873070166,55.813103988563306,0.0,0.0,0.0,6.435962927487064,0,0.537736799677532,169005958.58321035,1.5501675137327864
2010-01-05,6.458559036254883,6.495012355557433,6.42451550471913,6.465187058758854,601904800,1,2010,1,-0.0010251865017566275,55.813103988563306,0.0,0.0,0.0,6.448817757471054,601904800,0.22354328705735585,1040730.946844145,1.5501675137327864
2010-01-06,6.3558268547058105,6.484166651669908,6.349198832458527,6.458558786130939,552160000,1,2010,1,-0.015906324433515147,9.789217164104116,0.0,0.0,0.0,6.431252217117045,49744800,-0.15354291378052426,-7742126.196012997,1.5501675137327864
2010-01-07,6.344076633453369,6.3868571011218185,6.297982959205333,6.3793252578290245,477131200,1,2010,1,-0.005525447120351245,8.873630753114256,0.0,0.0,0.0,6.411429812234789,-427386400,-0.11069555442617672,-8624213.970681045,1.5501675137327864
2010-01-08,6.38625431060791,6.386857260320984,6.298285194397702,6.335641529122621,447610800,1,2010,1,0.00798858035964324,31.777767042984323,0.0,0.0,0.0,6.4019822596236065,20224400,0.0801919880724714,-5648338.220105657,1.5501675137327864
2010-01-11,6.3299174308776855,6.416983118453662,6.279906800179868,6.410957644337157,462229600,1,2010,2,-0.012640890480855788,23.790701731246244,0.0,0.0,0.0,6.392887264405181,-442005200,0.02680434835634457,-9725935.527762987,1.5501675137327864
2010-01-12,6.257913589477539,6.31967389243089,6.218749215864552,6.302199615901173,594459600,1,2010,2,-0.007027074533135197,18.006372882884193,0.0,0.0,0.0,6.372012579430444,-1036464800,-0.014258707539553871,-16488010.266431347,1.5501675137327864
2010-01-13,6.346186637878418,6.354622303812974,6.148857538817464,6.262435341742448,605892000,1,2010,2,0.013373598538850147,36.834199339858664,0.0,0.0,0.0,6.359309885010156,-430572800,0.1191147206272645,-7941402.347198222,1.5501675137327864
2010-01-14,6.309432506561279,6.340463304326972,6.2970806835531015,6.329919124037263,432894000,1,2010,2,-0.003236473811835629,33.61984444167696,0.0,0.0,0.0,6.355261848975565,-863466800,0.0681396072015074,-10448521.004477499,1.5501675137327864
2010-01-15,6.2039875984191895,6.374806174003466,6.202179956136696,6.354620835182287,594067600,1,2010,2,-0.0237045200130774,26.88816773571989,0.0,0.0,0.0,6.344543812311204,-1457534400,-0.05008469959536987,-20376736.17233134,1.5501675137327864
2010-01-19,6.478442668914795,6.482961775425333,6.243455163886841,6.276292797826078,730007600,1,2010,3,0.03220848319229718,51.936870601876926,0.0,0.0,0.0,6.351497308956048,-727526800,0.07324823690081848,11917700.936372608,1.5501675137327864
2010-01-20,6.378723621368408,6.4938069781844,6.311540780542033,6.474525860051603,612152800,1,2010,3,-0.014796796051785539,46.18739889386715,0.0,0.0,0.0,6.355500920268352,-1339679600,0.042099141272259284,2495174.985536473,1.5501675137327864
2010-01-21,6.268458366394043,6.426322579669442,6.242549630635982,6.389267118373788,608154400,1,2010,3,-0.018908076582419348,41.15024569091758,-0.126279354159274,-0.008020214545420679,-0.0008911349494911865,6.351870288880152,-1947834000,-0.02199596332513255,-8017633.526050409,1.5501675137327864
